ID,Severity,Category,Title,File,Evidence,Classification,Effort,Priority,Blocks
SEC-01,CRITICAL,Security,Committed bcrypt password hashes in users.json,users.json,git ls-files | grep users.json,PROVEN,S,P0,Production
SEC-02,CRITICAL,Security,All AI inference routed through halannews.com external proxy,"app/api/demo/generate/route.ts, app/api/intelligence/route.ts, app/api/research/talent/route.ts",fetch('https://halannews.com/api-proxy') in route source,PROVEN,M,P0,Production + Legal
SEC-03,CRITICAL,Security,Authenticated iframe embedding halannews.com,app/market-intelligence/page.tsx,<iframe src=""https://halannews.com/"" in page source,PROVEN,M,P0,Trust + Security
SEC-04,HIGH,Security,proxy.ts fail-open on missing env vars and exceptions,"proxy.ts:5-7, 42-44",return NextResponse.next() on both paths,PROVEN,S,P0,Auth bypass risk
SEC-05,HIGH,Security,images.remotePatterns wildcard enables SSRF,next.config.ts:9-11,{ hostname: '**' } confirmed in source,PROVEN,XS,P0,SSRF
SEC-06,HIGH,Security,Unsanitized user input in AI prompt and HTML email,app/api/demo/generate/route.ts:23-60,String interpolation of POST fields into prompt and email body,PROVEN,S,P1,Injection
SEC-07,HIGH,Security,npm audit HIGH: form-data CRLF injection,package-lock.json (transitive),npm audit --json output,PROVEN,XS,P1,Supply chain
SEC-08,HIGH,Security,No security headers (CSP / HSTS / X-Frame-Options),"next.config.ts, proxy.ts",Full file reads; no headers() export found,PROVEN,S,P0,XSS + Clickjacking
SEC-09,MEDIUM,Security,Non-null assertion on nullable user.email,app/api/workspace/route.ts:15,user.email! in Prisma query,PROVEN,XS,P1 (delete the route),Runtime error risk
SEC-10,MEDIUM,Security,demo_leads SELECT policy too permissive,supabase/leads-table.sql,USING (true) on SELECT policy,PROVEN,XS,P1,Data exposure
SEC-11,MEDIUM,Security,No CSRF protection,All form routes,No CSRF tokens found in codebase,HIGHLY LIKELY,S,P2,CSRF
DB-01,CRITICAL,Database,Zero Prisma migration history,prisma/ directory,"ls prisma/ = schema.prisma only; no migrations/",PROVEN,M,P0,Schema drift
