ID,Category,Title,Severity,File,Evidence,Impact,Recommendation,Estimated Effort,Confidence
SEC-01,Security,Debug env route publicly accessible,CRITICAL,app/api/debug-env/route.ts,"Route file exists; no auth check; returns env info","Any caller can probe production env variable presence","Delete app/api/debug-env/route.ts immediately",5 min,CONFIRMED
SEC-02,Security,console.log leaks API key presence,HIGH,app/api/research/leads/route.ts,"Lines 1–3: console.log('SERPAPI_KEY', !!process.env.SERPAPI_API_KEY)","Key presence info visible in Vercel logs; information disclosure","Remove all production console.log from route files",15 min,CONFIRMED
SEC-03,Security,NEXT_PUBLIC_SUPABASE_PUBLISHABLE_KEY name mismatch,CRITICAL,lib/supabase/server.ts + lib/supabase/middleware.ts,"Code reads NEXT_PUBLIC_SUPABASE_PUBLISHABLE_KEY; .env.example defines NEXT_PUBLIC_SUPABASE_ANON_KEY","If Vercel has the anon key name and not the publishable key name every server-side auth call is broken","Verify env var name in Vercel dashboard and align with code or rename code variable to match .env.example",30 min,HIGH
SEC-04,Security,demo_leads table fully open RLS,HIGH,supabase/leads-table.sql,"FOR INSERT WITH CHECK (true); FOR SELECT USING (true)","PII (name + email) in demo_leads is publicly readable via Supabase REST anon key","Restrict SELECT to authenticated users or service role only",30 min,CONFIRMED
SEC-05,Security,Rate limiter race condition (non-atomic),MEDIUM,lib/research/rate-limit.ts,"get → check → incr pattern is not atomic","Two concurrent requests can both read count < 5 and both be permitted","Replace with @upstash/ratelimit (already in package.json) for atomic sliding-window",2 hours,CONFIRMED
SEC-06,Security,No timeout on external HTTP fetches,MEDIUM,lib/research/acquisition/source-collector.ts,"No AbortController or timeout parameter on fetch calls","Slow source URLs can hang Lead Finder requests up to Vercel function timeout","Add AbortController with 5-second timeout",2 hours,CONFIRMED
SEC-07,Security,Wildcard image remote pattern in next.config,LOW,next.config.ts,"remotePatterns: [{ protocol: 'https' hostname: '**' }]","Allows Next.js image optimization for any HTTPS URL — potential SSRF via image proxy","Restrict to known domains (Supabase storage URL)",30 min,CONFIRMED
SEC-08,Security,No Content Security Policy header,LOW,middleware.ts,"No CSP headers set in middleware","XSS attacks have no CSP defense","Add Content-Security-Policy header in middleware or next.config headers",2 hours,CONFIRMED
SEC-09,Security,supabase as any type casts bypass TypeScript,MEDIUM,"app/api/research/leads/route.ts:71, app/api/research/talent/route.ts:86, app/api/intelligence/route.ts:971","supabase as any used on 3 routes","TypeScript cannot validate column names or query structure for active database operations","Run supabase gen types typescript and update supabase.types.ts",2 days,CONFIRMED
SEC-10,Security,No rate limiting on intelligence route,MEDIUM,app/api/intelligence/route.ts,"Only auth check — no rate limit applied","Unlimited GPT-4o-mini calls per authenticated user; abuse would incur unbounded OpenAI cost","Apply same rate limiter as research routes",2 hours,CONFIRMED
PERF-01,Performance,Intelligence route AI call has no timeout,MEDIUM,app/api/intelligence/route.ts,"openai.chat.completions.create with no timeout","OpenAI latency spikes can cause Vercel function timeout for end users","Add AbortSignal timeout to OpenAI call",2 hours,CONFIRMED
PERF-02,Performance,Inline <style> CSS not cached by browser,MEDIUM,"app/dashboard/real-estate/page.tsx, app/dashboard/research/leads/page.tsx, app/dashboard/reports/reports-client.tsx","Multiple const styles = backtick CSS string tags","CSS is not cached — re-sent on every navigation","Migrate to CSS modules or Tailwind utility classes",1–2 weeks,CONFIRMED
PERF-03,Performance,Real-estate page is 1112 lines — single client component,MEDIUM,app/dashboard/real-estate/page.tsx,"File is 1112 lines; 'use client'; all 5 forms + all 5 report renderers in one component","Entire module loads on initial visit; no lazy loading of individual report types","Split into lazy-loaded sub-components per report type",1 week,CONFIRMED
PERF-04,Performance,No Redis caching for intelligence reports,MEDIUM,app/api/intelligence/route.ts,"No cache.set call found; research-service.ts has Redis cache for leads","Identical feasibility inputs regenerate reports and cost OpenAI tokens each time","Add Upstash Redis cache layer with hash of input parameters",1 day,CONFIRMED
PERF-05,Performance,No db index on research_requests.user_id + created_at,LOW,supabase/research-tables.sql,"No index visible in SQL; plan enforcement does a full table count per user per month","Plan enforcement query can slow as research_requests grows","Add composite index on (user_id created_at) to research_requests",30 min,HIGH
ARCH-01,Architecture,Dual schema — Prisma legacy models not dropped,HIGH,prisma/schema.prisma,"Report and ApiUsage marked as LEGACY — no active route writes to them","Confusion for new developers; plan enum diverges between Prisma and Supabase","Migrate historical data and drop legacy Prisma models in a planned migration",2–3 weeks,CONFIRMED
ARCH-02,Architecture,Plan enum mismatch — AGENCY missing from Prisma,MEDIUM,prisma/schema.prisma:79 vs types/plan.types.ts,"Workspace.plan is enum without AGENCY; user_plans.plan allows AGENCY","A user on AGENCY plan cannot be represented in Prisma workspace model","Add AGENCY to Prisma Plan enum or drop Workspace.plan",1 day,CONFIRMED
ARCH-03,Architecture,Workspace.ownerId has no foreign key to User.id,MEDIUM,prisma/schema.prisma:31,"ownerId String — no @relation","If owner User is deleted workspace has dangling reference","Add @relation to User model or add database-level FK",1 day,CONFIRMED
ARCH-04,Architecture,No admin/operations API,MEDIUM,app/api/,"No admin routes for plan management user support or reporting","Operations must be done via direct Supabase dashboard — not scalable","Add /api/admin routes with service-role auth",1 week,CONFIRMED
ARCH-05,Architecture,Legacy AI engine is dead code,HIGH,services/legacy-ai-engine/,"~40 files; no active import from orchestrator.ts or any prompt file","Maintenance burden; misleading to new contributors","Remove orchestrator + prompts; keep OpenAIProvider class in lib/ai/",1 day,CONFIRMED
DB-01,Database,research_requests.updated_at has no auto-update trigger,LOW,supabase/research-tables.sql,"No trigger to set updated_at on row change","Status updates do not reflect in updated_at timestamp","Add PostgreSQL trigger: updated_at = NOW() on row update",30 min,CONFIRMED
